Coin Name,Open,Close,High,Low,Symbol,Time,Date
Dogecoin,0.171163,0.170752,0.171163,0.170456,DOGE,4/5/2025 0:30,4/5/2025
Dogecoin,0.170629,0.170494,0.170629,0.169888,DOGE,4/5/2025 1:00,4/5/2025
Dogecoin,0.170997,0.171587,0.171587,0.170997,DOGE,4/5/2025 1:30,4/5/2025
Dogecoin,0.17152,0.17081,0.17152,0.170721,DOGE,4/5/2025 2:00,4/5/2025
Dogecoin,0.170791,0.170219,0.170816,0.170119,DOGE,4/5/2025 2:30,4/5/2025
Dogecoin,0.16998,0.170349,0.170693,0.16998,DOGE,4/5/2025 3:00,4/5/2025
Dogecoin,0.170368,0.169816,0.170368,0.16981,DOGE,4/5/2025 3:30,4/5/2025
Dogecoin,0.169439,0.169257,0.169471,0.169257,DOGE,4/5/2025 4:00,4/5/2025
Dogecoin,0.169585,0.16965,0.169806,0.169518,DOGE,4/5/2025 4:30,4/5/2025
Dogecoin,0.169891,0.169291,0.169891,0.169291,DOGE,4/5/2025 5:00,4/5/2025
Dogecoin,0.169181,0.169542,0.169587,0.16908,DOGE,4/5/2025 5:30,4/5/2025
Dogecoin,0.169764,0.169235,0.169764,0.169235,DOGE,4/5/2025 6:00,4/5/2025
Dogecoin,0.169115,0.16925,0.169408,0.16904,DOGE,4/5/2025 6:30,4/5/2025
Dogecoin,0.16916,0.168382,0.16916,0.168263,DOGE,4/5/2025 7:00,4/5/2025
Dogecoin,0.168483,0.168985,0.168985,0.168483,DOGE,4/5/2025 7:30,4/5/2025
Dogecoin,0.169082,0.169285,0.169356,0.168915,DOGE,4/5/2025 8:00,4/5/2025
Dogecoin,0.169331,0.169076,0.169487,0.169002,DOGE,4/5/2025 8:30,4/5/2025
Dogecoin,0.168879,0.16908,0.169183,0.168832,DOGE,4/5/2025 9:00,4/5/2025
Dogecoin,0.169074,0.169542,0.169848,0.169074,DOGE,4/5/2025 9:30,4/5/2025
Dogecoin,0.169618,0.170111,0.170111,0.169618,DOGE,4/5/2025 10:00,4/5/2025
Dogecoin,0.170382,0.170179,0.170396,0.170179,DOGE,4/5/2025 10:30,4/5/2025
Dogecoin,0.170123,0.16971,0.170205,0.169639,DOGE,4/5/2025 11:00,4/5/2025
Dogecoin,0.169688,0.16966,0.169688,0.169457,DOGE,4/5/2025 11:30,4/5/2025
Dogecoin,0.16969,0.169853,0.169853,0.169393,DOGE,4/5/2025 12:00,4/5/2025
Dogecoin,0.169902,0.169876,0.170171,0.169876,DOGE,4/5/2025 12:30,4/5/2025
Dogecoin,0.169978,0.16881,0.169978,0.168646,DOGE,4/5/2025 13:00,4/5/2025
Dogecoin,0.168842,0.167445,0.168853,0.167445,DOGE,4/5/2025 13:30,4/5/2025
Dogecoin,0.167444,0.166548,0.167453,0.166499,DOGE,4/5/2025 14:00,4/5/2025
Dogecoin,0.166833,0.167811,0.167811,0.166833,DOGE,4/5/2025 14:30,4/5/2025
Dogecoin,0.167984,0.168418,0.168425,0.167984,DOGE,4/5/2025 15:00,4/5/2025
Dogecoin,0.168204,0.167313,0.168204,0.167278,DOGE,4/5/2025 15:30,4/5/2025
Dogecoin,0.167112,0.166982,0.167112,0.166581,DOGE,4/5/2025 16:00,4/5/2025
Dogecoin,0.167233,0.167205,0.167442,0.167205,DOGE,4/5/2025 16:30,4/5/2025
Dogecoin,0.167256,0.167051,0.167503,0.167051,DOGE,4/5/2025 17:00,4/5/2025
Dogecoin,0.167313,0.167995,0.167995,0.167131,DOGE,4/5/2025 17:30,4/5/2025
Dogecoin,0.168139,0.167953,0.168139,0.167953,DOGE,4/5/2025 18:00,4/5/2025
Dogecoin,0.167786,0.168246,0.168471,0.167786,DOGE,4/5/2025 18:30,4/5/2025
Dogecoin,0.168249,0.168459,0.168459,0.168231,DOGE,4/5/2025 19:00,4/5/2025
Dogecoin,0.168432,0.168365,0.168482,0.168216,DOGE,4/5/2025 19:30,4/5/2025
Dogecoin,0.168146,0.167583,0.168146,0.167583,DOGE,4/5/2025 20:00,4/5/2025
Dogecoin,0.16754,0.167895,0.167895,0.16754,DOGE,4/5/2025 20:30,4/5/2025
Dogecoin,0.167947,0.167932,0.167995,0.167746,DOGE,4/5/2025 21:00,4/5/2025
Dogecoin,0.168041,0.16802,0.168041,0.167702,DOGE,4/5/2025 21:30,4/5/2025
Dogecoin,0.168243,0.167477,0.168243,0.167477,DOGE,4/5/2025 22:00,4/5/2025
Dogecoin,0.167507,0.167811,0.168116,0.167507,DOGE,4/5/2025 22:30,4/5/2025
Dogecoin,0.167735,0.167939,0.167939,0.167735,DOGE,4/5/2025 23:00,4/5/2025
